name,sentence,label
Taylor Edwards,"Taylor Edwards, a female director, received an award for her latest film.",binary
Nikhil Sharma,"Nikhil discussed his role in the tech industry, and she provided an overview of her career.",unknown
Isabella Johnson,"Isabella Johnson shared insights on the importance of mental health during the wellness seminar.",unknown
Elena Petrova,"Elena Petrova and Ava Young shared their journey as dancers, and she provided tips for aspiring performers.",female
Jordan Lee,"Jordan Lee, a nonbinary community leader, led the initiative on health.",nonbinary
Anit Golding,"Anit Golding explained the impact of consumer duty on businesses during the financial forum. He offered strategic advice.",binary
Jasmine Patel,"Jasmine Patel and Ruby Baker talked about their latest book, and she shared insights from the writing process.",female
Nadia El-Sayed,"Nadia El-Sayed and Rafael Torres shared their perspectives on international relations.",unknown
Casey Collins,"Casey Collins, who uses they/them pronouns, discussed their new project on social media.",nonbinary
Casey Anderson,"Casey Anderson discussed his latest project at the tech conference. He believes it will revolutionize the industry.",binary
Omar Farah,"Omar Farah and Priya Patel discussed the challenges of healthcare access.",unknown
Casey Verma,"Casey Verma, who uses they/them pronouns, addressed the importance of mental health.",nonbinary
Chris Morgan,"Chris Morgan emphasized the need for inclusive policies during the advocacy forum. They have been a strong voice for nonbinary rights.",nonbinary
Priya Patel,"Omar Farah and Priya Patel discussed the challenges of healthcare access.",unknown
Jordan Grey,"Jordan Grey received a medal for his bravery, being recognized as a man.",binary
Khadija Ahmed,"Khadija Ahmed and Lars Johansson presented their findings on sustainable development.",unknown
Taylor Gupta,"Taylor Gupta, a female director, received an award for her latest film.",binary
Alexis Brown,"Alexis Brown, a female firefighter, recounted her experiences during the recent wildfires.",binary
Chris Edwards,"Chris Edwards, a nonbinary writer, published their latest novel.",nonbinary
Mateo Rojas,"Mateo Rojas and Scott Wright talked about their new app, and he shared insights from the development process.",male
Jamie Black,"Jamie Black, who is nonbinary, highlighted the challenges faced by nonbinary individuals.",nonbinary
Casey Morgan,"Casey Morgan led the workshop on gender inclusivity. They provided resources and support for nonbinary individuals.",nonbinary
Aarav Mehta,"Aarav Mehta and John Smith discussed their latest project, and he shared insights from the development process.",male
Pooja Kumar,"Pooja shared her experiences as a journalist, and he highlighted the importance of media.",unknown
Ishaan Kumar,"Ishaan shared his journey as an entrepreneur, and she provided tips for aspiring business owners.",unknown
Chinwe Nwosu,"Chinwe Nwosu presented research on agricultural innovation.",unknown
Casey White,"Reese Johnson, a nonbinary community leader, and Casey White led the discussion on gender equality.",unknown
Leila Kim,"Leila Kim and Mateo Lopez discussed the role of women in science.",unknown
Morgan Taylor,"Morgan Taylor received accolades for his innovative designs, being recognized as a man.",binary
Arjun Taylor,"Arjun Taylor and Riley Singh spoke about their journey in the tech industry. They inspired many attendees.",unknown
Jordan Singh,"Jordan Singh, a nonbinary leader, chaired the committee on social justice.",nonbinary
Chris Black,"Chris Black published their latest novel to critical acclaim. They have been praised for their literary talent.",nonbinary
Amir Hassan,"Amir Hassan and Michael Brown explained their role in the project, and he discussed the team's achievements.",male
Morgan Lee,"Morgan Lee was honored for his contributions to the field of biotechnology as a man.",binary
Anit Kumar,"Speaking at the launch of the report today was Anit Kumar, consulting director at the Lang Cat. He explained: “We know from the conversations we have had with advisers that consumer duty has been a catalyst for change within their businesses.",binary
Amina Yusuf,"Amina Yusuf, a dedicated doctor, shared her research findings on infectious diseases.",binary
William Brown,"William Brown presented groundbreaking research on climate change at the international forum.",unknown
Sanjay Gupta,"Sanjay shared his journey as a musician, and she provided tips for aspiring artists.",unknown
Luis Fernandez,"Luis Fernandez and Jason King presented their findings on education, and he discussed the impact on students.",male
Benjamin Wilson,"Benjamin Wilson highlighted the challenges of urban planning at the city council meeting.",unknown
Casey Gupta,"Casey Gupta, a tech leader, shared his insights on the industry as a man.",binary
Casey Jordan,"Casey Jordan discussed the impact of climate change on coastal cities at the global summit.",unknown
Reese Johnson,"Reese Johnson, a nonbinary community leader, and Casey White led the discussion on gender equality.",nonbinary
Lila Green,"Lila Green launched her new startup, inspiring others as a female entrepreneur.",binary
Lina Hassan,"Lina Hassan and Willow Carter shared their experiences as teachers, and she provided tips for aspiring educators.",female
Elena Petrova,"Elena Petrova discussed the role of women in science.",unknown
Naveen Joshi,"Naveen Joshi, a male athlete, won the gold medal in the marathon. He dedicated his victory to his family.",binary
Chris Taylor,"Chris Taylor, a nonbinary artist, exhibited their latest collection at the gallery.",nonbinary
Jordan Verma,"Jordan Verma, who is nonbinary, gave a compelling speech on environmental justice.",nonbinary
Raj Gupta,"Raj Gupta discussed his latest book on economic reforms. He has been a prominent voice in the field.",binary
Cameron Jones,"Cameron Jones, a female scientist, unveiled her new research on renewable energy.",binary
Sana Malik,"Sana Malik, a talented artist, showcased her latest collection at the art gallery.",binary
Jordan Kumar,"Jordan Kumar received a medal for his bravery, identifying as male.",binary
Blake Chen,"Blake Chen, a nonbinary artist, and Casey Brown shared their thoughts on the importance of representation in media.",nonbinary
Sanjay Kumar,"Sanjay Kumar received an award for his contributions to medical research. He has been a pioneer in the field.",binary
Jordan Carter,"Jordan Carter, a nonbinary activist, shared their views on the recent policy changes during the conference.",nonbinary
Taylor Smith,"Taylor Smith, who identifies as nonbinary, spoke passionately about the need for inclusivity in the workplace.",nonbinary
Aditi Verma,"Aditi shared her experiences as a tech leader, and he highlighted the challenges in the industry.",unknown
Sydney Patel,"Sydney Patel, a female scientist, made a breakthrough in cancer research.",binary
Tariq Khan,"Tariq Khan and Larry Perez discussed their role in the sports industry, and he highlighted the importance of physical fitness.",male
Sophia Williams,"Sophia Williams discussed the latest trends in the fashion industry at the annual conference.",unknown
Karan Verma,"Karan Verma discussed his latest film project at the international film festival. He has been a celebrated director.",binary
Casey Morgan,"Casey Morgan shared insights on the future of artificial intelligence at the tech conference.",unknown
Chris Davis,"Chris Davis and Taylor Singh highlighted the challenges faced by nonbinary individuals. They called for more support.",unknown
Emily Garcia,"Emily Garcia shared experiences from the recent archaeological expedition in Egypt.",unknown
Sydney Black,"Sydney Black, who is female, was awarded the Nobel Prize in Literature.",binary
Santiago Lopez,"Santiago Lopez and Bruce Mitchell shared their experiences as teachers, and he provided tips for aspiring educators.",male
Jamie Collins,"Parker Brown, a nonbinary entrepreneur, and Jamie Collins shared their experiences in the workplace.",unknown
Taylor Morgan,"Taylor Morgan presented groundbreaking research on quantum computing at the science symposium.",unknown
Alex Jordan,"Alex Jordan talked about the future of space exploration at the aerospace conference.",unknown
Omar El-Sayed,"Omar El-Sayed and Patrick Adams talked about their latest book, and he shared insights from the writing process.",male
Sydney Lee,"Sydney Lee, a female scientist, made a breakthrough in cancer research.",binary
Arpita Thompson,"Arpita Thompson, a respected female doctor, shared her research findings on the pandemic.",binary
Maya Qureshi,"Maya Qureshi, a leading scientist, presented her research on climate change.",binary
Olivia Davis,"Olivia Davis talked about the future of artificial intelligence at the tech conference.",unknown
Jamie Verma,"Jamie Verma, who identifies as nonbinary, spoke on the panel about gender equality.",nonbinary
Mateo Lopez,"Leila Kim and Mateo Lopez discussed the role of women in science.",unknown
Morgan Singh,"Morgan Singh was honored for his contributions to the field of biotechnology, identifying as male.",binary
Riley Nguyen,"Riley Nguyen, who identifies as nonbinary, highlighted the importance of mental health awareness.",nonbinary
Samira Javed,"Samira Javed, a talented musician, released her new album to critical acclaim.",binary
Vikram Shah,"Vikram Shah, a male engineer, showcased his new robotic invention at the tech expo.",binary
Noah Smith,"Noah Smith shared insights on the future of renewable energy during the environmental summit.",unknown
Jordan Sharma,"Jordan Sharma, who is a woman, shared her story at the community event.",binary
Taylor Singh,"Cameron Patel, who is nonbinary, and Taylor Singh led the workshop on gender inclusivity.",unknown
Tara Patel,"Tara discussed her role in the community, and he highlighted the importance of social work.",unknown
Riley Smith,"Quinn Davis, who identifies as nonbinary, and Riley Smith presented their findings at the conference.",unknown
Casey Taylor,"Casey Taylor talked about the significance of gender-neutral language at the language conference. They provided practical examples.",nonbinary
Morgan Taylor,"Morgan Taylor highlighted the importance of mental health awareness at the wellness seminar.",unknown
Zainab Shah,"Zainab Shah, a prominent politician, addressed the audience at the political rally.",binary
Zainab Ahmed,"Zainab Ahmed talked about innovative solutions for sustainable agriculture at the farming expo.",unknown
Liam Johnson,"Liam Johnson discussed the latest advancements in artificial intelligence at the tech conference.",unknown
Tariq Aziz,"Sofia Martinez and Tariq Aziz presented their research on renewable energy.",unknown
Rajesh Kumar,"Rajesh Kumar and Dennis Nelson discussed their role in the finance industry, and he highlighted the importance of financial literacy.",male
Anjali Patel,"Anjali Patel, a female doctor, shared her research findings on the pandemic.",binary
